time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333333333333337,1.0,9447.994071259398,0.0,-4451.857076005452,0.2,0.00013541666666666685,52527.63258118887,15.1760931018592,0.4412194693003248,14314.102969056701,68.05737270077049
160.16130859524844,1334.677571627072,8.33333333333334,11458.100687894437,8039.754100634349,0.0,-4076.325213352156,0.22168851053893998,0.0001354166666666669,52441.77028253663,16.624644723427213,0.4088059778979549,12491.253694552448,75.09079388705041
381.1512250712649,3176.2602089272095,8.333333333333337,29105.60182285223,6778.795800001282,0.0,-3740.735237503763,0.2516142283950672,0.00013541666666666677,52333.43137395593,18.101939765813565,0.3818607476841547,10775.65634948744,84.68111157286282
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015315,6495.1543459374525,0.0,-3662.0923025194056,0.2610856157783392,0.00013541666666666674,52300.754961588,18.450348276462606,0.37664345072488514,10369.804873017976,87.68854069539462
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015315,6495.1543459374525,0.0,-3662.0923025194056,0.2610856157783392,0.00013541666666666674,52300.754961588,18.450348276462606,0.37664345072488514,10369.804873017976,87.68854069539462
778.1886932561695,6484.905777134749,8.333333333333334,66081.4857738456,5646.375843321228,0.0,-3430.4030229613463,0.3053797188784397,0.00013541666666666674,52155.00103755624,19.529347681581214,0.36621359067724196,9049.76578805502,101.57433671224163
1229.5129152167665,10245.94096013972,8.333333333333332,116145.54387653204,5236.7631550274955,0.0,-3301.231691455991,0.3664965406022705,0.00013541666666666666,51964.64770588348,19.93126741425129,0.37241922477067996,8175.785716881511,120.24308113524815
1372.3554883571612,11436.295736309681,8.33333333333333,133731.8314457441,5201.378079732995,0.0,-3270.8330062143373,0.38583980571503235,0.0001354166666666666,51905.21951217407,19.558488008065474,0.3602112966633782,8023.7354787054255,126.03147997598322
1372.3554883571612,11436.295736309681,8.33333333333333,133731.8314457441,5201.378079732995,0.0,-3270.8330062143373,0.38583980571503235,0.0001354166666666666,51905.21951217407,19.558488008065474,0.3602112966633782,8023.7354787054255,126.03147997598322
1761.2389795364406,14676.991496137009,8.333333333333334,185754.66047663204,5147.903052109665,0.0,-3193.145253208252,0.4385011118122265,0.00013541666666666666,51747.226618027955,18.384869141293517,0.3127169702090036,7704.179557341599,141.49270970085894
2297.818825120695,19148.490209339125,8.333333333333329,267231.5560158624,5205.728596022706,0.0,-3234.6091262768223,0.5111629659017607,0.0001354166666666666,51530.914252198105,15.676597408836615,0.38879550280412556,7483.352486853875,162.09903383098677
2467.6445116428386,20563.70426369032,8.333333333333329,295296.8844735832,5250.814465292739,0.0,-3253.9504541901238,0.5341601942849677,0.00013541666666666658,51461.20729437432,14.719380149632928,0.42229832904099973,7455.627063363617,168.44210711069562
2467.6445116428386,20563.70426369032,8.333333333333329,295296.8844735832,5250.814465292739,0.0,-3253.9504541901238,0.5341601942849677,0.00013541666666666658,51461.20729437432,14.719380149632928,0.42229832904099973,7455.627063363617,168.44210711069562
